YawRate  deg/s,RR_Iq  A,RR_Id  A,RR_Vq  V,RR_Vd  V,AccelZ  g,AccelY  g,AccelX  g,YawAngle  rad,RollAngle  rad,PitchAngle  rad,WaterPump_DC  %,RRMotorTorqueReq  Nm,RLMotorTorqueReq  Nm,FLMotorTorqueReq  Nm,FRMotorTorqueReq  Nm,RRMotorPower  kW,RLMotorPower  kW,FRMotorPower  kW,FLMotorPower  kW,RRWheelTorqueReq  Nm,RLWheelTorqueReq  Nm,FRWheelTorqueReq  Nm,FLWheelTorqueReq  Nm,Pedal_Req  Nm,RRInverterTemp  C,RRMotorTemp  C,RLMotorSpeed  rpm,RLInverterTemp  C,RLMotorTemp  C,RRMotorSpeed  rpm,VehicleSpeed  mph,APPS_Arb  %,GPS_Speed  mph,R_BrakePress  kPa,F_BrakePress  kPa,Brake_Flag  boolean,RRNormalForce  N,RLNormalForce  N,FRNormalForce  N,FLNormalForce  N,MinCellTemp  C,MaxCellTemp  C,AvgCellTemp  C,PackSOC  %,LVBattery  V,Heading  deg ,AccumulatorCurrentLimit  A,PackVoltage  V,AccumulatorCurrentDraw  A
0.518018018018025,-1.6244897959183637,3.066530612244897,0.0,0.0,9.745106593951412,-0.03255329697570648,0.23744670302429352,0.0572958,1796.4525132,15.1260912,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,200.0,293.77,-0.1
-1.0539829659318731,-1.4217299919159274,3.2862085691188367,0.0,0.0,9.758006042296072,-0.031993957703927475,0.2219939577039275,0.0,1796.3952174,15.1260912,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.5,0.0,0.0,200.0,293.77,-0.1
1.940315315315313,-2.0845462256149276,3.9668193384223915,0.0,0.0,9.737463876432486,-0.03746387643248628,0.24492775286497256,-0.1718874,1796.3952174,15.183387,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.53417344884922,0.0,0.0,201.0,293.7793244147157,-0.1
-0.5803571428571479,-1.455324675324676,3.5381818181818216,0.0,0.0,9.732138554216867,-0.04595381526104419,0.23,-0.1718874,1796.3379216,15.2406828,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.66760742102039,0.0,0.0,201.0,293.79292307692305,-0.1
-0.41082164328658566,-1.6,3.06,0.0,0.0,9.74263364394311,-0.05,0.2373663560568907,-0.1145916,1796.2806258,15.2406828,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.79664391353811,0.0,0.0,201.0,293.8060735785953,-0.1
1.0382014028056172,-1.7069789227166297,3.3884777517564424,0.0,0.0,9.736190949776232,-0.0320636499254102,0.25380905022376943,-0.27348701352560933,1796.2806258,15.2979786,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.97370263411219,0.0,0.0,202.0,293.82,-0.1
0.0750504540867819,-1.7646376811594195,3.6816425120772918,0.0,0.0,9.747743902439025,-0.04,0.23,-0.3437748,1796.2374501539634,15.3552744,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.82,-0.1
-1.2244744744744738,-1.697570715474207,3.342429284525793,0.0,0.0,9.735101134681797,-0.022550567340897828,0.20744943265910218,-0.2291832,1796.22333,15.412570200000001,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.82,-0.1
1.7312687312687334,-1.621637866265967,3.0657700976709243,0.0,0.0,9.753889731917045,-0.038472432979261506,0.23,-0.4583664,1796.1759747459787,15.459925454021244,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.8197474523704,-0.10084182543198937
0.0,-1.606394671107411,3.083980016652791,0.0,0.0,9.73,-0.02,0.23255424063116367,-0.8271991014594868,1796.1660342,15.469866,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.8043021710235,-0.15232609658839172
